p,offset,b,c
1352521,31455,11,345994
1354081,28811,12,460964
1355281,43727,8,43719
1357129,19115,18,688122
1358281,9503,36,75988
1361089,23071,15,207624
1361809,31671,11,348370
1363489,24791,14,1214745
1365289,31751,11,3841860
1369369,19287,18,3124476
1369561,35119,10,175585
1370329,29159,12,116624
1371841,44255,8,177012
1372849,15791,22,31560
1373689,35223,10,1761140
1375609,44375,8,709992
1377601,44447,8,44439
1378441,20591,17,20574
1378969,44483,8,2846904
1379449,35371,10,707410
1379809,44511,8,356080
1381921,35439,10,70868
1381969,25127,14,1231209
1385521,9695,36,58134
1386361,17559,20,35098
1387849,35591,10,71172
1388641,44795,8,2866872
1389481,44823,8,358576
1390489,44855,8,717672
1391041,15991,22,175879
1393921,8767,40,1753360
1394089,35751,10,71492
1397761,19687,18,1594629
1398289,29751,12,2142060
1398769,35871,10,71732
1399129,25439,14,1246497
1399609,29779,12,4288164
1400449,35911,10,179545
1402129,45231,8,361840
1402249,25499,14,101982
1402801,29847,12,2148972
1404649,12655,28,708652
1405009,45323,8,2900664
1405681,19799,18,534555
1406521,29927,12,359112
1406689,36071,10,180345
1408201,12687,28,710444
1414081,36259,10,725170
1415929,36311,10,72612
1421401,21215,17,6131118
1421569,36451,10,729010
1423129,36491,10,729810
1423321,20047,18,1623789
1423921,45935,8,183732
1426489,30351,12,2185260
1427281,36599,10,182985
1427329,46043,8,2946744
1429201,24239,15,24224
1429849,36663,10,1833140
1429969,36671,10,73332
1430521,8999,40,179940
1430641,20159,18,40300
1430881,16447,22,3980152
1432489,36731,10,734610
1433041,30491,12,487844
1435249,26099,14,104382
1435561,17303,21,51888
1437409,26135,14,1280601
1439089,30619,12,4409124
1439881,17351,21,121436
1442641,36991,10,1849540
1444081,24479,15,122380
1445161,13023,28,104156
1447441,37119,10,74228
1448449,26339,14,105342
1449001,46743,8,373936
1449121,37159,10,185785
1449289,30839,12,123344
1449361,30839,12,246700
1450201,18359,20,183570
1450849,24591,15,1106580
1451209,37211,10,744210
1451521,37219,10,744370
1453489,46895,8,46887
1453729,46895,8,750312
1454041,33815,11,4091604
1454569,26447,14,1295889
1455721,46967,8,46959
1456921,37359,10,186785
1461769,31103,12,248812
1465081,31175,12,124688
1465129,31175,12,187038
1469161,37671,10,1883540
1469521,34175,11,4135164
1470529,37711,10,75412
1470841,47447,8,759144
1471681,24959,15,24944
1472209,37751,10,188745
1473049,37771,10,755410
1473649,37791,10,75572
1474489,15527,24,62084
1476169,37851,10,757010
1478929,20831,18,374940
1481041,25103,15,627560
1482121,31535,12,756828
1482289,26951,14,1320585
1483969,47871,8,382960
1486249,38111,10,190545
1487641,31655,12,126608
1488481,17111,22,188199
1489009,20975,18,125832
1489321,13919,27,3382290
1490161,34655,11,4193244
1492801,48155,8,3081912
1492969,14495,26,2449629
1497049,38391,10,76772
1498729,38431,10,192145
1499521,17247,22,34472
1500409,25431,15,1144380
1504801,48543,8,388336
1506121,38619,10,772370
1507321,35055,11,385594
1508929,38691,10,773810
1509841,38719,10,77428
1511689,8447,45,211130
1512289,19143,20,3828580
1514209,38831,10,77652
1517209,38903,10,1945140
1517569,19211,20,307356
1520401,32351,12,194094
1521361,19259,20,308124
1523281,39059,10,781170
1526449,32479,12,292299
1526641,49247,8,787944
1529089,12851,30,256990
1532161,7127,54,577233
1532449,27863,14,1365273
1536889,27947,14,111774
1537369,32711,12,392520
1537729,39431,10,197145
1539049,49655,8,49647
1545121,39619,10,792370
1545769,6471,60,116418
1546969,39671,10,79332
1547449,28139,14,112542
1548121,32951,12,32939
1548409,39703,10,1985140
1549081,13019,30,260350
1549321,5891,66,8553666
1554169,50135,8,802152
1554529,26351,15,131740
1556641,39919,10,79828
1557481,26399,15,395970
1558321,39959,10,199785
1558561,33167,12,66322
1559209,33175,12,1194288
1564081,36375,11,400114
1564369,13151,30,78876
1564921,13151,30,986295
1565041,33311,12,33299
1565281,50495,8,201972
1566049,36431,11,36420
1566769,50543,8,202164
1566889,10415,38,10377
1567729,33359,12,133424
1569649,19871,20,198690
1572841,10999,36,3563640
1574161,23495,17,6790038
1575961,19959,20,39898
1577689,22223,18,199989
1578361,50915,8,3258552
1581889,9951,40,198980
1582081,51035,8,3266232
1583761,22307,18,803034
1585201,22327,18,1808469
1586209,22343,18,201069
1587961,40719,10,203585
1589281,40751,10,2037540
1589569,18271,22,4421560
1590481,26959,15,242616
1591969,18299,22,805134
1594849,51455,8,51447
1596961,51515,8,3296952
1597129,33983,12,271852
1598689,34015,12,1224528
1599889,41023,10,2051140
1601161,16855,24,606756
1601209,20271,20,162148
1603009,51711,8,413680
1603681,37295,11,4512684
1604521,51767,8,51759
1606081,34175,12,136688
1609801,41279,10,206385
1610809,41303,10,2065140
1611289,34295,12,34283
1612249,15095,27,15068
1614649,37551,11,413050
1619209,17047,24,153399
1621489,22847,18,45676
1622041,41591,10,2079540
1624009,29531,14,118110
1624849,52415,8,838632
1626769,18699,22,822734
1627609,34631,12,415560
1629601,19655,21,19634
