k,m,j,re,im,abs
3,100,11,0.01894088945508744,-0.008875970670808808,0.020917460378805566
3,100,12,0.03988359819427619,0.007851674200334429,0.040649110601225565
3,100,13,0.043425590040381684,0.014208961916353855,0.04569109835729156
3,100,14,0.03131317565451108,-0.00771741970740841,0.03225017110823695
3,100,15,0.0763339008089575,0.021977460656407252,0.07943471023183561
3,100,16,-0.008217577466626103,-0.05308872120461019,0.05372095399898282
3,100,17,-0.033325032861627364,-0.034801806551768955,0.04818426666968475
3,100,18,-0.04987885445954482,-0.008142967753655429,0.05053917338098761
3,100,19,-0.04053213278271214,0.004664162835028638,0.04079961032739247
3,100,20,0.07281152949374539,0.005877852522925418,0.07304839476333355
3,100,21,0.018683991471618446,0.010186714489378185,0.021280523710651915
3,100,22,0.015216904818856786,0.01927395766727085,0.02455686536237668
3,100,23,-0.008954816984737216,0.021159655129761243,0.02297650435641961
3,100,24,-0.022042097815069665,0.011208269782685189,0.02472810926072903
3,100,25,0.03999999999999973,-0.05000000000000039,0.06403124237432863
3,100,26,0.008287559100904666,-0.002936128573561001,0.0087922970179282
3,100,27,0.009676775038614128,-0.0019173438326800251,0.009864896477949558
3,100,28,-0.00196407183353591,-0.004152771589378592,0.004593809970040022
3,100,29,-0.0046404688155327715,-0.004642966614994002,0.006564380383241131
3,100,30,0.00809016994375004,-0.052900672706322996,0.0535157175276597
3,100,31,0.017842755293081783,0.02097013759392785,0.02753380807583768
3,100,32,0.00848693546372365,0.02088883410478703,0.022547094354322554
3,100,33,-0.010564661891007875,-0.0001907998478305961,0.010566384691712026
3,100,34,-0.017277533275228314,-0.020948953559947466,0.027154590980779977
3,100,35,-0.03779288114646085,-0.04961678088140818,0.062370881109570585
3,100,36,0.00977732971377602,0.004775924810475355,0.010881435297202365
3,100,37,0.01604047701722245,0.017340241276310755,0.02362161870957858
3,100,38,0.014717041671760044,0.005969624217719552,0.015881679031799673
3,100,39,0.011222007937361349,-0.011107608260311638,0.015789630249335936
3,100,40,-0.02781152949374447,-0.009510565162951049,0.02939272056989888
3,100,41,-0.011204269994051809,0.007622310466900635,0.0135512096490842
3,100,42,-0.019715409720199552,0.014994746718704125,0.024769735759459104
3,100,43,-0.007755633177256305,0.00046313055827792716,0.0077694488796934335
3,100,44,0.018428934861969545,-0.019467196229824176,0.02680666650662102
3,100,45,0.020996605306300528,-0.012230053053027167,0.024298798984073815
3,100,46,0.01683917094396077,-0.011714579642070302,0.020513143451707752
3,100,47,-0.01147425201280185,-0.0018892889237898977,0.011628751948977264
3,100,48,-0.02455608506960954,-0.0018471054190413968,0.024625456592212713
3,100,49,-0.017133005758970508,-0.0035043518910314263,0.017487720506489463
3,100,50,-0.01,-9.530847000549347e-16,0.01
3,100,51,-0.017133005758970424,0.0035043518910313053,0.01748772050648936
3,100,52,-0.02455608506960965,0.001847105419039945,0.024625456592212717
3,100,53,-0.011474252012802213,0.0018892889237897496,0.011628751948977598
3,100,54,0.016839170943961913,0.01171457964206947,0.020513143451708214
3,100,55,0.02099660530629996,0.012230053053026713,0.024298798984073094
3,100,56,0.018428934861969757,0.019467196229823985,0.026806666506621026
3,100,57,-0.007755633177256433,-0.00046313055827783224,0.007769448879693556
3,100,58,-0.019715409720200715,-0.014994746718701208,0.024769735759458265
3,100,59,-0.011204269994050475,-0.007622310466900802,0.01355120964908319
3,100,60,-0.02781152949374521,0.009510565162949418,0.02939272056989905
3,100,61,0.01122200793736168,0.011107608260310828,0.015789630249335603
3,100,62,0.014717041671757962,-0.005969624217721194,0.015881679031798362
3,100,63,0.016040477017223716,-0.017340241276311303,0.023621618709579843
3,100,64,0.009777329713774768,-0.00477592481047636,0.010881435297201682
3,100,65,-0.037792881146459414,0.049616780881410465,0.06237088110957153
3,100,66,-0.017277533275228397,0.02094895355994791,0.027154590980780373
3,100,67,-0.010564661891008232,0.00019079984782912506,0.010566384691712357
3,100,68,0.008486935463721154,-0.02088883410478668,0.02254709435432129
3,100,69,0.017842755293082616,-0.020970137593926762,0.02753380807583739
3,100,70,0.008090169943748149,0.052900672706322587,0.053515717527659004
3,100,71,-0.004640468815531803,0.0046429666149955225,0.006564380383241522
3,100,72,-0.001964071833535689,0.004152771589379148,0.004593809970040431
3,100,73,0.009676775038615299,0.0019173438326816916,0.00986489647795103
3,100,74,0.008287559100904753,0.002936128573559319,0.008792297017927721
3,100,75,0.039999999999998335,0.04999999999999985,0.06403124237432734
3,100,76,-0.022042097815067874,-0.011208269782688643,0.024728109260729
3,100,77,-0.008954816984735494,-0.021159655129762905,0.02297650435642047
3,100,78,0.015216904818860821,-0.01927395766726985,0.024556865362378395
3,100,79,0.018683991471618443,-0.010186714489377947,0.021280523710651797
3,100,80,0.07281152949374495,-0.005877852522922001,0.07304839476333283
3,100,81,-0.04053213278271102,-0.004664162835028941,0.04079961032739139
3,100,82,-0.049878854459544694,0.008142967753654615,0.05053917338098735
3,100,83,-0.03332503286162595,0.034801806551769274,0.048184266669684
3,100,84,-0.008217577466624828,0.05308872120461136,0.053720953998983786
3,100,85,0.07633390080896059,-0.021977460656404383,0.0794347102318378
3,100,86,0.031313175654511666,0.00771741970741036,0.03225017110823798
3,100,87,0.04342559004038329,-0.014208961916353369,0.04569109835729293
3,100,88,0.03988359819427553,-0.007851674200335189,0.040649110601225065
3,100,89,0.01894088945508622,0.008875970670809185,0.020917460378804622
3,100,90,-0.003090169943749729,-0.08559508646656633,0.08565084925148274
3,100,91,-0.007908194077653617,-0.0063030725332691925,0.010112776914848277
3,100,92,0.0031496232451472474,-0.016576822113407295,0.016873386084776256
3,100,93,0.013776661158189662,-0.010722818728982515,0.017457812983366214
3,100,94,0.016739327013345878,-0.0041478981484063746,0.017245582852118514
3,100,95,-0.0495376249687969,-0.08459073282802575,0.09802840592364849
3,100,96,0.02705341070594807,-0.03688821848238608,0.04574524777098662
3,100,97,0.020056593110524334,-0.048919324570007035,0.05287123266566447
